Tier,Company,HQ,States Covered,Product Focus,Scale,Recruiting Angle,Status / Notes
B,CV3 Financial Services,"El Segundo, CA",47 states,"Fix&flip, bridge, DSCR, construction",Large: ~$2B funded since Aug 2023,Ex-Civic team (Tessar); aggressive comp; AAPL title sponsor. Competitor for talent more than source - but knows where every SoCal AE sits,Active and growing; #6 Scotsman
B,Conventus Lending,"San Francisco, CA",21 states incl. CA/CO/HI/OR/WA,"Fix&flip, bridge, DSCR",Large: $9B+ lifetime; top-3 fix&flip nationally,Strong producers (#2-ranked F&F lender); venture-funded fintech,Active
B,Center Street Lending,"Irvine, CA",Multi-state,"Fix&flip, bridge, construction, DSCR, STR",Mid/large: $6.2B+ lifetime,Inc. 5000 2025; broker-channel heavy - AEs carry broker books,Active
B,Arixa Capital,"Los Angeles, CA",CA / Western US,"Bridge, fix&flip, ground-up, $250K-$70M",Large regional: $7B+ lifetime (Dec 2025),Growing ('new era of growth' PR); balance-sheet/fund lender,Active
B,Sunset Equity Funding,"Los Angeles, CA",National exc. AK/ND/SD,"Fix&flip, ground-up, DSCR, commercial bridge",Mid/large: $3B+ RTL lifetime,Broker-facing; rate-aggressive,Active
B,Dunmor,"Bay Area, CA (new Irvine office)",48 states,"Bridge, fix&flip, ground-up, DSCR",Mid - scaling fast,Newfi/Apollo minority equity Jan 2025; hiring wave (new EVPs; AZ/NV licenses),Active and growing fast
B,Builders Capital,"Puyallup, WA",44 states,"Ground-up construction, A&D, bridge",Largest private construction lender; ~$3B capital partnerships,Massive growth; added 40+ staff 2024. ALSO A POACHING THREAT TO YOUR 7,Active
B,Casa Lending (Builders Capital div.),"Puyallup, WA",Regional investor markets,$100K-$3M investor loans,New division,Startup inside incumbent; led by Jonathan Andrews,Active
B,Veristone Capital,"Kirkland, WA",WA / PNW,"Bridge, fix&flip",Mid regional,Founded 2011; in-house valuation,Active
B,Intrust Funding,"Auburn/Puyallup, WA (city unverified)",WA,"Fix&flip, bridge",Small/mid: 250 loans / $178M in 2025,Founders Heaton/Dainard (Heaton Dainard RE) - tight local network; Dainard is a BiggerPockets host,Active
B,Eastside Funding,"Kirkland, WA",WA,Purchase/flip hard money (auction specialty),Mid regional,Auction-finance niche originators - speed culture fits RTL,Active
B,Juniper Capital,"Seattle, WA","WA, OR, ID, MT, AK, HI","Private money: resi, construction, commercial",Small/mid,Covers MT/AK/HI - rare footprint,Active
B,Capital Fund 1,"Scottsdale, AZ","AZ, CO, TX, TN, GA, NC","Fix&flip, construction, commercial",Largest AZ local: $800M+ AUM,Expanding into Southeast; AZ's biggest local book of investor clients,Active
B,Boomerang Capital Partners,"Mesa, AZ","AZ, UT, CO, TX, NC",Fix&flip,Mid: $1B+ lifetime; 4500+ flips,Multi-state western footprint,Active
B,Northwest Private Lending,"Lake Oswego, OR (+Boise, Bellevue)","OR, ID, WA","Bridge, fix&flip",Small/mid,3-state footprint; 5.0 Google rating,Active
B,Trueline Capital,"Bend, OR","OR, WA","Fix&flip, ground-up, bridge",Small/mid,Construction expertise in growth markets,Active
B,Pine Financial Group,"Lakewood, CO","CO, MN, WI, (TX)","Fix&flip, rehab",Small/mid,Fund-based local lender,Active
B,Indicate Capital,"Denver, CO","CO, UT","Fix&flip, construction, bridge",Small/mid,,Active
B,Aloha Capital,"Boulder, CO",30+ states incl. NM/ID/MT,"Fix&flip, bridge, DSCR",Small/mid,Covers thin NM/MT markets,Active
B,Actium Partners / Actium Lending,"Salt Lake City, UT","UT, CO, ID","Bridge, hard money",Small/mid,Fast-close commercial bridge niche,Active
B,Payette Financial,"Boise, ID",10 states,"Hard money, construction",Small/mid,Largest ID-local private lender,Active
B,RCN Capital,"South Windsor, CT",National (active West),"Fix&flip, bridge, DSCR (#1 DSCR lender)",Large: ~$1B+ DSCR alone; 162 employees,National w/ West presence; wholesale AEs are REMOTE - poachable without relo,Active
B,LendingOne,"Boca Raton, FL",National,"Fix&flip, DSCR, construction",Large,National w/ West presence (remote AEs),Active
B,Roc360 (Roc Capital / Haus / ex-Civic / ex-FACo),"New York, NY",National,TPO/table-funding + retail RTL,Very large platform; Temasek $150M (Jan 2026),Absorbed Civic's CA teams 2023 - many ex-Civic AEs still there with CA books,Active
B,Temple View Capital,"Bethesda, MD",National,"Bridge, fix&flip, DSCR, ground-up",Large,National w/ West presence; wholesale-heavy,Active
B,Renovo Financial,"Chicago, IL",Multi-state,"Fix&flip, construction",Large: $3B 2025; #3 Scotsman,Expanding markets; home of #1 private originator (Shaughnessy) - study their model,Active
B,Constructive Capital,"Libertyville, IL",National,Wholesale RTL + DSCR,Large,National w/ West presence; AAPL platinum sponsor,Active
B,Dominion Financial Services,"Baltimore, MD",National,"Fix&flip, DSCR",Mid/large: #15 Scotsman,Borrower complaints about missed closings early 2026 (anecdotal) - service-frustrated AEs,Active
B,Asset Based Lending (ABL),"Jersey City, NJ",Expanding national,"Fix&flip, construction, DSCR",Large: record 2025 growth,Expanding westward = hiring too - watch for their offers to your team,Active
B,Easy Street Capital,"Austin, TX",National incl. all western states,"Fix&flip, bridge, construction, DSCR",Mid/large: #9 Scotsman; $175M securitization Nov 2025,Remote AEs in western states despite TX HQ,Active
B,Lantzman Lending,"Solana Beach, CA","CA, NV, AZ, TX","Fix&flip, bridge, construction",Small/mid; 4th-generation,Family shop - producers may want an institutional platform,Active
B,Wilshire Quinn Capital,"San Diego, CA",CA focus,CRE + resi bridge,Mid: $600M+ since 2011,Steady fund lender; small sales team,Active
B,Churchill Real Estate,"New York, NY",National,RTL warehouse/credit + originations,Large,National w/ West presence (western headcount unverified),Active
C,First Capital Trust Deeds (FCTD),Bay Area / Portland,"CA, OR, WA, ID",Hard money brokerage,Small/mid broker,Brokers know every lender's pricing and every AE - great hires AND great intel,Active
C,The Norris Group,"Riverside, CA",CA,"Hard money, flip",Small (unverified),Strong SoCal investor network/events - watering hole,Active (unverified)
C,RTI Bridge Loans,"Long Beach, CA","CA, NV","Bridge, fix&flip",Small,Local relationship books,Active
C,Hankey Capital,"Los Angeles, CA",CA,Large CRE bridge,Mid (large balance sheet),CRE-skewed; not RTL-pure (unverified fit),Active
C,Redwood Mortgage,"San Mateo, CA",CA,CRE/resi bridge fund,Small/mid (unverified),Legacy fund lender,Active (unverified)
C,PB Financial Group,"Los Angeles, CA",CA,Hard money bridge,Small (unverified),,Active (unverified)
C,Prime Plus Mortgages,"Scottsdale, AZ",AZ,"Hard money, BRRRR, rentals",Small,,Active
C,Hard Money Lenders Arizona,"Phoenix, AZ",AZ,Hard money,Small,Michael Iuculano - 23-yr top-rated AZ originator,Active
C,HD Lending,"Phoenix, AZ",AZ,Resi/commercial/multifamily hard money,Small (unverified),,Active (unverified)
C,NV Capital Corp,"Las Vegas, NV",NV,"Fix&flip, bridge, trust deeds",Small,,Active
C,Emory Funding,"Las Vegas, NV",NV,"Fix&flip, commercial bridge",Small,,Active
C,WADOT Capital,"Seattle, WA","WA, OR, ID","Construction, rehab, farm",Small,,Active
C,Flynn Family Lending,"Renton, WA",WA,Relationship private money,Small,Beth Johnson ('Lend to Live' author) - community hub more than a target,Active
C,Fairview Commercial Lending,"Denver/Evergreen, CO","CO, GA, IL",CRE + resi bridge,Small,No-doc niche; principals-only shop,Active
C,Private Money Utah,"Salt Lake City, UT",UT,"Fix&flip, resi/comm bridge",Small (since 2008),,Active
C,High West Lending,UT,UT,Fix&flip,Small (unverified),,Active (unverified)
C,Baker Collins & Co,UT/NV region (HQ unverified),"UT, NV, +",Fix&flip,Small: 1000+ loans since 2015,,Active
C,Investors Funding Corp,"Honolulu, HI",HI,"Fix&flip, rentals",Small,Rare HI-licensed originators,Active
C,Private Money Hawaii,HI,HI (all islands),"Bridge, fix&flip, DSCR",Small,,Active
C,Toorak Capital Partners,"Summit, NJ",National (aggregator),RTL/bridge correspondent capital,$15B+ purchased lifetime,Not an originator employer; market intel + lender lists,Active
C,Certain Lending (Vontive brand),"Seattle, WA",Multi,"Fix&flip, bridge",Small/mid,Folding into Vontive - staff may be movable,Brand transitioning
